,企業名,キャッチコピー,ステータス,初年度年収
0,株式会社夢真 | ★スターティング募集★年間休日120日！★未経験大歓迎！,【街づくりコーディネーター】★育成枠特別採用★土日祝休み 正社員,正社員,350万円～500万円
1,"ＪＲ東日本ビルテック株式会社 | ★第二新卒歓迎 ★年間休日""最大124日"" ★有給取得率77%",JR東日本の駅または駅ビル・オフィスビル等の【施設管理職】 正社員,正社員,300万円～700万円
2,株式会社アーキ・ジャパン | 完全週休2日/同期多数/未経験歓迎【大阪府緊急雇用対策に賛同】,未経験から一生モノの資格取得【進行管理アシスタント】年齢不問 正社員,正社員,350万円～750万円
3,KDDIエンジニアリング株式会社 | ★「健康経営優良法人2022」認定★土日祝休み★残業月20h程度,KDDIグループの【モバイルネットワークエンジニア(品質改善)】 正社員,正社員,450万円～650万円
4,東日本住宅株式会社 | <50期連続で黒字経営の成長企業＆新店OPEN予定>★未経験者歓迎,＜創業以来50期連続黒字！＞完全反響型【営業】毎月インセンあり 正社員,正社員,350万円～700万円
5,株式会社リアクトウォール | マイナビ初掲載｜高い技術力・成長スピード・働きやすさが強み,【ITエンジニア】代表との出会いが理想のキャリアの実現へ！ 正社員,正社員,
6,株式会社耕翔設備 | 住宅手当・祝い金など制度充実★賞与100万円以上も可能！？,あらゆる建物の【設備工事・管理スタッフ】未経験OK★月給25万円 正社員,正社員,
7,株式会社グランレブリー | InstagramやYouTubeでの情報発信により高い知名度を獲得,★お客様の理想を叶える★【建築設計】※育成枠採用｜未経験歓迎 正社員,正社員,300万円～800万円
8,KDDIエンジニアリング株式会社 | ★「健康経営優良法人2022」認定★36協定順守★年間休日120日～,KDDIグループで活躍！【基地局設備エンジニア(電力)】★土日祝休 正社員,正社員,450万円～650万円
9,KDDIエンジニアリング株式会社 | ★「健康経営優良法人2022」認定★36協定順守★年間休日120日～,KDDIグループで活躍！【基地局設備エンジニア(構造)】★土日祝休 正社員,正社員,450万円～650万円
10,株式会社一条工務店広島 | 『人も性能もダントツ』と社員談。業績好調による増員募集です！,経験に応じた業務からできる【総合職(設計／施工管理)】広島採用 正社員,正社員,340万円～500万円
11,明和工業株式会社 | 年間休日123日/賞与4か月以上！充実の研修で着実にキャリアUP!!,≪全国募集≫水道インフラを支えるメーカーの【ルート営業】 正社員,正社員,370万円～520万円
12,伏見管理サービス株式会社 | ★年休120日／完休2日／昨年賞与6.13ヶ月分／経験者は優遇◎,【マンション管理】★未経験OK★月給25万5千円～★残業月10h以下 正社員,正社員,350万円～540万円
13,株式会社フレックス | 大阪ガスグループ/黒字経営継続中/残業少なめ/毎年昇給＆賞与有,大阪・奈良限定募集＆転勤なし!【ライフアドバイザー】土日祝休 正社員,正社員,300万円～500万円
14,株式会社アーネストワン | 東証一部上場グループ/2年目年収800万円超も可/スピード昇格多数,戸建住宅の【施工管理】初年度想定年収442万円/利益率前年比150% 正社員,正社員,400万円～650万円
15,株式会社アーキ・ジャパン | 1年目の平均月収30万円/完週休2日【大阪府緊急雇用対策に賛同】,未経験・第二新卒（21卒・22卒もOK）大歓迎【管理事務】39歳まで 正社員,正社員,350万円～750万円
16,Y&I Group株式会社 | 「ベストベンチャー100」3年連続選出/働く環境面でNO.1称号を3冠,未経験歓迎【ITエンジニア】★3ヵ年研修★1年で年収120万円UPも 正社員,正社員,300万円～600万円
17,有限会社高美電気工事 | 【「住友電設」「きんでん」と直取引】地域密着だから転勤なし,資格・経験不問！【電気工事士】※完全週休2日／平均月収40万円 正社員,正社員,400万円～500万円
18,株式会社ワット・コンサルティング | 上場企業グループ★安定性◎未経験向け研修カリキュラム期間No.1,未経験から手に職をつける【CAD事務】質の高い研修をご用意★ 正社員,正社員,260万円～360万円
19,アイアール株式会社 | ★完全週休2日制（土日祝） ★年間休日125日 ★超充実の福利厚生,休める！稼げる！楽しめる♪【施工管理アシスタント】★未経験OK 正社員,正社員,350万円～960万円
20,北海道軌道施設工業株式会社 | ＼＼JR北海道100％子会社／／ 北海道新幹線の札幌開業に向けて,北海道の発展とインフラを守る【 技術職 (軌道・機械・土木) 】 正社員,正社員,300万円～600万円
21,株式会社イーマックエンジニアリング | 【東日本エリアの高速道路の建築設計プロ集団】★20~30代活躍中,【施設設計(電気設備/通信設備)】★土日祝休み！年休128日以上！ 正社員,正社員,360万円～610万円
22,株式会社アセンド | コロナ禍でも成長中/会社の未来を支える/キャリアチェンジも可,≪毎朝行きたい会社≫★IPOを視野に事業拡大★【システム営業】 正社員,正社員,400万円～650万円
23,株式会社スウェーデンハウス | ハウスメーカー 注文住宅ランキングお客様満足度8年連続No.1*,【施工管理】★経験者優遇★福岡/神戸/北海道など地方拠点も歓迎 正社員,正社員,450万円～600万円
24,株式会社イーマックエンジニアリング | 【東日本エリアの高速道路の建築設計プロ集団】★20~30代活躍中,★土日祝休み！年休128日以上！【建築設計（意匠・電気設備）】 正社員,正社員,360万円～610万円
25,KDDIエンジニアリング株式会社 | ★「健康経営優良法人2022」認定★土日祝休み★残業月30h程度,KDDIグループの【モバイルネットワークエンジニア(戦略立案)】 正社員,正社員,450万円～650万円
26,株式会社スズケン | 建築工房 櫓◇完休2日制／年休118日以上／20～30代活躍中◎,【設計士】経験者募集／月給30万円以上／賞与6ヶ月分★ 正社員,正社員,360万円～750万円
27,アーキ・ヤマイチ株式会社 | 【老舗の建材メーカーグループ】＊完全週休2日制＊年休120日超,【法人営業(ルート)】★2021年度賞与は”5ヶ月分” ★転勤なし 正社員,正社員,350万円～450万円
28,株式会社オンテックス | 外壁塗装のトップブランド｜40代50代の社員が多数活躍中,人生経験を活かせる【 提案営業 】年齢不問／高卒以上 正社員,正社員,400万円～800万円
29,辻木材株式会社 | 【LIME HOUSE／創業100余年】★会社づくりにも携われる！,＼未経験OK／【内勤系総合職】★賞与年2回・月給21万円～ 正社員,正社員,
30,株式会社システム | 月給28万円～★動物園やららぽーと等も担当★家族/資格手当充実,＼社会インフラに貢献できる／空調や給排水設備の【施工管理】 正社員,正社員,400万円～700万円
31,株式会社アキュラホーム | 【新拠点も続々OPEN】9年連続グッドデザイン賞の受賞実績あり！,“100％自由設計”で夢を形に！【住宅営業】*名古屋・岐阜募集 正社員,正社員,370万円～630万円
32,株式会社プロサーチ | 希望勤務地への配属♪　残業ほぼなしでプライベートも充実！,未経験者歓迎★年間休日125日！【 施工管理アシスタント 】 正社員,正社員,330万円～900万円
33,株式会社フレックス | 大阪ガスグループ/黒字経営継続中/残業少なめ/毎年昇給＆賞与有,東大阪・大東限定募集！【営業スタッフ】※土日祝休／転勤なし 正社員,正社員,300万円～500万円
34,株式会社コプロ・エンジニアード | 上場企業コプロ・ホールディングスグループ,もっと建設の仕事が楽しくなる！【 進行管理 】★年休125日 正社員,正社員,450万円～820万円
35,株式会社SEC | ★経験者は面接保証！★相談からもOK！★WEB面接対応！,【施工管理】従業員満足度90％超！理想の働き方を！給与アップ！ 正社員,正社員,360万円～950万円
36,日立建機日本株式会社 | 《40代モデル年収650万》働きやすさも◎年休129日・完休2日,建設業界の未来を変える。ICT機器導入を進める【技術サポート】 正社員,正社員,350万円～650万円
37,東光建設株式会社 | 年休120日～★完全週休2日(土日祝休み)★定時退社OK★長期休暇OK,東京メトロ案件多数★こんな建設会社【施工管理】があったとは 正社員,正社員,350万円～700万円
38,株式会社ビルディング企画 | 【創業40周年／グループ売上100億円】近々上場を目指し躍進中！,企業のオフィス環境をプロデュースする【企画営業】★未経験OK 正社員,正社員,300万円～450万円
39,三井ホーム株式会社 | 年休120日以上/フレックスタイム/土日祝休み/手当・福利厚生充実,大規模木造建築に挑戦！【設計】※設備に関する実務経験者歓迎！ 正社員,正社員,400万円～780万円
40,株式会社クラシアン | 景気に左右されない安定企業★毎年依頼件数が増加中！,未経験でも月収30万円可【営業】★残業代100%＆歩合給＆手当あり 正社員,正社員,400万円～600万円
41,株式会社架設工事佐々木組 | JR新潟駅や北陸自動車道など、スケールの大きい仕事に挑戦！,プロジェクトの【管理スタッフ】★転勤なし・有給取得率ほぼ100% 正社員,正社員,300万円～500万円
42,興和電気工事株式会社 | 官3：民7を手掛ける安定性/転勤なし/遠方への出張なし！,定着率90%以上/自由度高く活躍/強電中心【電気工事の施工管理】 正社員,正社員,360万円～480万円
43,株式会社コプロ・ホールディングス | 東証プライム・名証プレミア上場 | 健康経営優良法人2022認定,20代活躍中！【総合職 （営業・施工管理 】東証プライム上場企業 正社員,正社員,350万円～450万円
44,三井ホーム株式会社 | 年休120日/フレックスタイム/完全週休2日/手当・福利厚生充実,顧客に寄り添う大規模木造建築の提案を【営業】 正社員,正社員,400万円～780万円
45,株式会社 夢真 | プライム市場上場グループ！安定基盤＆未経験者も安心の充実研修,【管理スタッフ(勤怠/日程調整等)】★最大2ヶ月の研修有 正社員,正社員,300万円～500万円
46,三井ホーム株式会社 | 正社員登用有り/年休120日超/賞与年2回/フレックスタイム,★全国募集★好きな街で働く【リフォームアドバイザー】完休2日 契約社員,契約社員,300万円～450万円
47,須賀工業株式会社 | 新国立競技場・日清の工場など…日本を代表する建築物を手掛ける,ホワイト企業の特徴が揃う！【施工管理】*賞与6カ月*土日祝休み 正社員,正社員,400万円～800万円
